Idade_Anos,Renda_Mensal_Mil_RS,Possui_Carro,Distancia_Viagem_Km,Acesso_TP_Estacao_Prox,Tempo_Viagem_Carro_Min,Tempo_Viagem_TP_Min,Custo_Viagem_Carro_RS,Custo_Viagem_TP_RS,Escolha_Modal_Label,Escolha_Modal
56,14.0,Nao,10.1,Sim,25.6,20.8,5.2,7,Transporte_Publico,1
69,7.5,Nao,7.7,Sim,16.3,20.7,12.9,12,Transporte_Publico,1
46,6.0,Nao,7.0,Nao,18.8,15.6,11.9,13,Transporte_Publico,1
32,10.4,Sim,19.5,Sim,38.8,58.2,12.6,13,Transporte_Publico,1
60,14.2,Sim,8.4,Sim,12.6,35.1,9.5,7,Carro_Particular,0
25,7.6,Sim,19.3,Sim,40.6,37.6,23.9,13,Carro_Particular,0
38,18.8,Sim,2.7,Nao,5.5,5.0,5.0,4,Carro_Particular,0
56,1.7,Sim,5.1,Sim,11.1,11.4,5.0,4,Transporte_Publico,1
36,8.9,Sim,9.0,Nao,26.1,16.9,16.5,10,Transporte_Publico,1
40,19.4,Nao,18.3,Nao,31.1,59.6,22.4,4,Transporte_Publico,1
28,11.4,Sim,20.6,Sim,42.6,50.5,26.0,7,Transporte_Publico,1
28,9.0,Sim,13.8,Nao,23.5,31.0,12.6,11,Carro_Particular,0
41,11.8,Sim,13.9,Sim,14.8,48.5,27.2,7,Transporte_Publico,1
70,11.9,Sim,22.0,Nao,43.8,78.0,35.2,5,Transporte_Publico,1
53,14.9,Sim,1.5,Nao,5.0,5.0,5.0,7,Carro_Particular,0
57,3.4,Nao,10.9,Nao,24.9,23.0,11.4,9,Transporte_Publico,1
41,5.8,Sim,24.7,Sim,48.3,68.5,39.7,9,Carro_Particular,0
20,12.0,Sim,18.5,Sim,29.6,63.6,34.2,12,Transporte_Publico,1
39,17.5,Sim,10.8,Sim,17.5,33.3,20.4,12,Carro_Particular,0
70,11.7,Nao,27.3,Sim,60.0,81.1,39.2,9,Transporte_Publico,1
19,5.5,Nao,23.4,Sim,42.6,72.7,25.4,13,Carro_Particular,0
41,13.9,Nao,8.7,Sim,25.3,25.8,17.4,5,Transporte_Publico,1
61,15.1,Sim,19.7,Sim,44.6,71.5,28.1,6,Carro_Particular,0
47,5.5,Sim,18.3,Sim,35.0,48.9,27.8,13,Carro_Particular,0
55,8.2,Sim,12.6,Nao,21.6,30.9,18.0,8,Carro_Particular,0
19,11.2,Nao,11.6,Sim,28.4,23.7,10.6,15,Transporte_Publico,1
38,10.4,Nao,11.0,Sim,20.8,28.7,18.3,9,Carro_Particular,0
50,8.4,Sim,18.9,Sim,30.1,48.0,29.5,12,Transporte_Publico,1
29,6.7,Nao,13.8,Sim,30.4,43.1,18.6,8,Carro_Particular,0
39,2.9,Nao,25.1,Nao,52.3,75.5,40.0,8,Carro_Particular,0
61,2.0,Sim,20.4,Sim,46.5,52.6,23.7,8,Carro_Particular,0
42,19.2,Nao,3.0,Nao,7.7,13.7,5.0,11,Carro_Particular,0
66,17.1,Nao,19.6,Nao,36.5,70.9,29.5,10,Carro_Particular,0
44,7.7,Sim,8.9,Nao,24.1,29.6,5.0,14,Transporte_Publico,1
59,19.2,Sim,18.2,Nao,43.2,34.3,27.0,6,Transporte_Publico,1
45,13.9,Sim,20.7,Nao,42.6,78.0,34.7,5,Carro_Particular,0
33,10.2,Sim,7.7,Nao,15.7,29.1,10.0,8,Carro_Particular,0
32,10.4,Sim,14.2,Nao,21.8,58.3,21.1,10,Transporte_Publico,1
64,2.6,Sim,6.5,Sim,10.0,28.2,12.6,13,Carro_Particular,0
68,2.7,Nao,2.5,Nao,8.8,17.8,5.0,7,Transporte_Publico,1
61,12.4,Sim,12.0,Sim,21.2,37.6,16.5,11,Carro_Particular,0
69,11.5,Sim,11.5,Nao,15.7,32.4,11.4,7,Carro_Particular,0
20,5.0,Sim,29.9,Sim,60.0,90.0,44.8,10,Transporte_Publico,1
54,19.0,Sim,13.9,Sim,20.5,36.0,19.2,13,Carro_Particular,0
68,15.8,Nao,10.7,Sim,32.7,35.6,18.5,6,Transporte_Publico,1
24,3.2,Sim,17.8,Sim,34.1,32.4,29.5,8,Carro_Particular,0
38,18.7,Sim,3.6,Sim,6.8,11.1,9.4,15,Transporte_Publico,1
26,19.5,Sim,28.9,Sim,54.4,90.0,40.8,13,Carro_Particular,0
56,19.9,Nao,19.4,Sim,42.7,59.0,18.2,10,Transporte_Publico,1
35,2.1,Nao,22.9,Sim,38.6,82.5,38.1,9,Carro_Particular,0
21,15.0,Sim,5.9,Nao,5.0,15.6,11.0,7,Carro_Particular,0
42,11.4,Sim,12.9,Sim,33.9,46.7,16.2,9,Transporte_Publico,1
31,14.4,Sim,13.3,Sim,22.6,32.9,22.7,13,Carro_Particular,0
